num,name
"UN-46033","OO"
"UN-34210","FF"
"UN-45699","ZZ"
"UN-45587","FF_SHS Group"
"UN-46536","DD"
"UN-46813","DD"
"UN-47085","DD"
"UN-47281","DD"
"UN-47385","DD"
"UN-47420","DD"
"UN-47976","DD"
"UN-48343","FF_HV_AD"
"UN-48498","DD"
"UN-46560","DD"
"UN-46112","LL"
"UN-41243","DD"
"UN-45226","ZZ"
"UN-46385","ZZ"
"UN-39347","Transcend Media"
"UN-46229","ZZ"
"UN-45920","ZZ"
"UN-46710","DD"
"UN-46621","ZZ"
"UN-37730","ZZ"
"UN-46774","AWW"
"UN-46736","FF"
"UN-46731","II"
"UN-45667","II"
"UN-46801","II"
"UN-46464","ZZ"
"UN-35161","ZZ"
"UN-46835","II"
"UN-46591","ZZ"
"UN-46867","ZZ"
"UN-45720","ZZ"
"UN-46667","ZZ"
"UN-46961","ZZ"
"UN-47042","DD"
"UN-47046","DD"
"UN-47044","DD"
"UN-47048","DD"
"UN-47050","DD"
"US-46996","FF"
"UN-46133","ZZ"
"UN-47028","DD_Jason2"
"UN-47063","ZZ"
"UN-46564","ZZ"
"UN-47024","ZZ"
"US-46981","II"
"UN-46984","D"
"XX-00001","FF-TeleCentrics"
"UN-44599","ZZ"
"UN-46972","YY"
"UN-43979","ZZ"
"UN-47250","II"
"UN-46735","C_ICAN"
"UN-47031","YY"
"UN-47296","II"
"UN-47297","II"
"UN-21347","ZZ"
"UN-46404","FF"
"UN-47319","II"
"UN-47322","II"
"UN-47350","DD"
"UN-47078","ZZ"
"UN-47283","ZZ"
"UN-46529","II"
"UN-47214","ZZ"
"UN-47492","DD"
"UN-44723","ZZ"
"UN-47539","II"
"XX-00002","DD"
"UN-47371","FF1"
"CA-46844","II"
"UN-47449","YY"
"UN-46779","ZZ"
"UN-41944","FF"
"UN-41016","FF"
"UN-47357","ZZ"
"UN-47614","QQ"
"UN-47194","KK"
"UN-47640","AWW"
"UN-47681","ZZ1_Overage $0.0150"
"UN-46105","FF"
"UN-47528","ZZ"
"UN-47617","YY"
"UN-47732","ZZ"
"UN-47853","DD"
"UN-47885","FF_Citrix Sys Prod Sales"
"UN-47986","II"
"UN-47990","II"
"UN-46892","ZZ_Paul Moss"
"UN-48123","FF"
"UN-47391","ZZ"
"US-48126","FF"
"UN-48211","II"
"UN-48229","II"
"US-48246","HH"
"UN-46520","FF"
"UN-47336","GG_custom_all-0.012"
"UN-48295","ZZ"
"UN-47988","FF"
"CA-45608","II"
"UN-48383","II"
"UN-48388","II"
"UN-42541","ZZ"
"US-44646","F"
"US-48311","AWW"
"UN-48502","DD"
"UN-48567","FF"
"UN-48736","ZZ"
"UN-48810","EE"
"UN-49071","II"
"UN-49507","FF"
"UN-49571","ZZ"
"UN-48515","ZZ"
"UN-46468","GG - Do not use - requires SVP approval"
"CA-48315","II"
"UN-48156","ZZ_Your Home Adv"
"UN-47277","II"
"UN-48408","FF"
"UN-47203","C_ICAN"
"US-48591","DD"
"US-48589","DD"
"UN-48635","FF"
"UN-47950","YY"
"UN-48543","ZZ"
"UN-48318","ZZ"
"US-48660","D"
"UN-43563","FF"
"UN-48672","FF"
"UN-46850","ZZ"
"UN-48689","II"
"US-48711","DD"
"US-48661","D"
"UN-48647","DD"
"UN-48714","DD"
"UN-48709","DD"
"99-A9066","FF"
"UN-48640","ZZ"
"UN-48796","II"
"UN-48783","ZZ"
"UN-48725","E"
"UN-41179","YY"
"UN-48790","II_RevGuard"
"UN-48713","DD"
"UN-48788","ZZ"
"UN-48698","DD"
"UN-48539","ZZ"
"UN-48873","ZZ"
"UN-49078","FF_A Marketing Resource"
"UN-49062","II"
"UN-46028","YY_senergy2"
"UN-49059","C_ICAN"
"99-A9313","D"
"UN-48435","YY1"
"UN-48145","ZZ"
"UN-48163","ZZ"
"99-A9314","DD"
"UN-49509","II"
